Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,1
37,18
38,35
39,41
40,46
41,34
42,40
43,32
44,30
45,35
46,39
47,51
48,39
49,41
50,38
51,47
52,60
53,40
54,39
55,36
56,52
57,35
58,32
59,42
60,42
61,36
62,28
63,43
64,48
65,29
66,30
67,40
68,45
69,36
70,44
71,32
72,30
73,29
74,30
75,37
76,27
77,23
78,22
79,34
80,37
81,36
82,31
83,29
84,25
85,22
86,22
87,26
88,33
89,28
90,29
91,28
92,35
93,20
94,28
95,26
96,16
97,15
98,27
99,22
100,13
101,21
102,23
103,26
104,18
105,27
106,24
107,21
108,20
109,16
110,18
111,20
112,17
113,23
114,12
115,17
116,18
117,18
118,27
119,22
120,17
121,14
122,18
123,12
124,15
125,19
126,16
127,21
128,21
129,17
130,13
131,18
132,14
133,13
134,12
135,19
136,8
137,16
138,14
139,17
140,20
141,14
142,7
143,12
144,6
145,11
146,12
147,6
148,12
149,11
150,11
151,11
152,13
153,14
154,18
155,15
156,12
157,10
158,16
159,11
160,6
161,8
162,7
163,6
164,12
165,7
166,12
167,10
168,8
169,15
170,8
171,6
172,6
173,9
174,11
175,7
176,9
177,12
178,10
179,12
180,9
181,5
182,7
183,6
184,3
185,4
186,4
187,14
188,3
189,4
190,9
191,2
192,4
193,11
194,4
195,7
196,4
197,5
198,5
199,4
200,7
201,3
202,9
203,9
204,2
205,6
206,3
207,4
208,5
209,9
210,4
211,6
212,2
213,4
214,2
215,1
216,3
217,3
218,3
219,6
220,4
221,6
222,5
223,1
224,3
225,5
226,6
227,7
228,8
229,11
230,7
231,4
232,2
233,5
234,6
235,5
236,3
237,8
238,4
239,3
240,2
241,4
242,5
243,4
244,0
245,3
246,5
247,9
248,8
249,4
250,7
251,5
252,7
253,5
254,9
255,0
256,4
257,3
258,6
259,3
260,3
261,4
262,4
263,1
264,6
265,4
266,4
267,3
268,4
269,4
270,5
271,8
272,3
273,2
274,2
275,10
276,1
277,4
278,1
279,2
280,4
281,2
282,7
283,7
284,4
285,5
286,5
287,2
288,5
289,5
290,4
291,6
292,5
293,1
294,4
295,4
296,2
297,4
298,1
299,2
300,3
301,2
302,2
303,2
304,6
305,2
306,1
307,1
308,1
309,4
310,5
311,6
312,7
313,4
314,2
315,1
316,4
317,4
318,2
319,5
320,2
321,1
322,2
323,4
324,1
325,1
326,0
327,5
328,6
329,2
330,3
331,2
332,2
333,6
334,0
335,2
336,2
337,2
338,1
339,4
340,3
341,1
342,4
343,0
344,3
345,0
346,3
347,2
348,3
349,2
350,4
351,2
352,1
353,2
354,0
355,1
356,4
357,2
358,2
359,2
360,4
361,1
362,3
363,2
364,1
365,2
366,1
367,2
368,2
369,3
370,3
371,1
372,2
373,2
374,1
375,2
376,1
377,3
378,3
379,1
380,3
381,1
382,1
383,2
384,3
385,0
386,1
387,3
388,1
389,0
390,0
391,3
392,0
393,3
394,0
395,2
396,2
397,3
398,1
399,5
400,3
401,3
402,2
403,0
404,3
405,3
406,4
407,1
408,1
409,4
410,0
411,3
412,3
413,2
414,2
415,0
416,4
417,1
418,1
419,2
420,1
421,0
422,1
423,0
424,2
425,1
426,5
427,4
428,0
429,4
430,0
431,2
432,3
433,2
434,2
435,3
436,2
437,1
438,1
439,0
440,1
441,2
442,0
443,2
444,3
445,2
446,2
447,2
448,3
449,1
450,0
451,0
452,0
453,2
454,1
455,1
456,3
457,4
458,3
459,0
460,2
461,0
462,1
463,1
464,3
465,0
466,3
467,1
468,5
469,2
470,0
471,1
472,4
473,3
474,2
475,2
476,0
477,1
478,1
479,0
480,2
481,0
482,4
483,0
484,1
485,1
486,0
487,1
488,1
489,5
490,2
491,2
492,6
493,1
494,1
495,1
496,1
497,0
498,0
499,2
500,1
501,2
502,3
503,2
504,0
505,0
506,1
507,2
508,1
509,2
510,5
511,1
512,1
513,3
514,1
515,2
516,2
517,1
518,4
519,2
520,2
521,2
522,0
523,3
524,1
525,2
526,1
527,0
528,1
529,1
530,3
531,1
