Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,1
36,2
37,33
38,62
39,76
40,80
41,87
42,66
43,49
44,73
45,77
46,67
47,78
48,84
49,71
50,66
51,81
52,70
53,81
54,57
55,104
56,65
57,70
58,74
59,67
60,62
61,65
62,54
63,65
64,72
65,71
66,74
67,60
68,67
69,59
70,69
71,69
72,64
73,68
74,57
75,78
76,64
77,60
78,63
79,74
80,68
81,66
82,72
83,54
84,58
85,63
86,66
87,56
88,61
89,49
90,64
91,58
92,55
93,49
94,47
95,57
96,63
97,65
98,46
99,70
100,56
101,61
102,63
103,49
104,66
105,71
106,55
107,56
108,76
109,51
110,51
111,55
112,58
113,57
114,52
115,55
116,55
117,55
118,50
119,57
120,60
121,56
122,55
123,66
124,53
125,57
126,42
127,66
128,61
129,55
130,51
131,54
132,55
133,64
134,58
135,57
136,55
137,56
138,50
139,57
140,57
141,62
142,61
143,53
144,61
145,43
146,53
147,44
148,57
149,57
150,54
151,60
152,62
153,41
154,36
155,52
156,49
157,56
158,43
159,42
160,41
161,61
162,54
163,52
164,57
165,58
166,44
167,52
168,48
169,41
170,52
171,53
172,46
173,56
174,58
175,55
176,45
177,42
178,41
179,48
180,48
181,48
182,56
183,53
184,42
185,51
186,48
187,50
188,45
189,61
190,52
191,44
192,70
193,49
194,41
195,46
196,41
197,40
198,54
199,58
200,47
201,56
202,43
203,54
204,52
205,56
206,44
207,47
208,49
209,49
210,40
211,48
212,59
213,50
214,55
215,64
216,49
217,45
218,39
219,44
220,44
221,39
222,46
223,45
224,42
225,58
226,46
227,51
228,47
229,42
230,54
231,36
232,49
233,44
234,40
235,44
236,32
237,44
238,43
239,43
240,43
241,35
242,45
243,39
244,50
245,50
246,42
247,45
248,48
249,52
250,47
251,45
252,47
253,41
254,42
255,40
256,36
257,55
258,56
259,52
260,40
261,49
262,36
263,55
264,53
265,67
266,44
267,40
268,50
269,40
270,46
271,46
272,54
273,46
274,43
275,49
276,50
277,44
278,40
279,49
280,40
281,57
282,57
283,29
284,42
285,42
286,40
287,45
288,47
289,45
290,40
291,39
292,46
293,40
294,29
295,40
296,37
297,33
298,32
299,32
300,47
301,49
302,48
303,47
304,38
305,51
306,34
307,38
308,31
309,46
310,39
311,33
312,39
313,46
314,29
315,39
316,46
317,37
318,40
319,48
320,40
321,37
322,38
323,30
324,42
325,38
326,39
327,46
328,44
329,38
330,33
331,38
332,40
333,39
334,42
335,34
336,41
337,46
338,28
339,41
340,43
341,47
342,46
343,26
344,32
345,35
346,37
347,30
348,36
349,31
350,33
351,41
352,41
353,45
354,30
355,34
356,31
357,39
358,35
359,22
360,35
361,40
362,41
363,37
364,37
365,34
366,38
367,32
368,24
369,34
370,41
371,37
372,40
373,30
374,28
375,47
376,31
377,41
378,42
379,32
380,30
381,36
382,38
383,30
384,37
385,37
386,36
387,32
388,34
389,33
390,28
391,39
392,41
393,44
394,45
395,31
396,47
397,35
398,28
399,29
400,33
401,36
402,37
403,34
404,38
405,28
406,38
407,31
408,41
409,42
410,38
411,26
412,35
413,26
414,40
415,32
416,28
417,27
418,27
419,30
420,22
421,27
422,29
423,36
424,21
425,39
426,33
427,21
428,32
429,48
430,27
431,34
432,30
433,37
434,28
435,32
436,26
437,40
438,37
439,35
440,33
441,26
442,26
443,34
444,20
445,24
446,34
447,34
448,37
449,31
450,33
451,25
452,30
453,26
454,34
455,31
456,31
457,36
458,27
459,35
460,21
461,32
462,25
463,37
464,37
465,21
466,32
467,33
468,21
469,34
470,43
471,35
472,24
473,31
474,21
475,29
476,26
477,26
478,29
479,25
480,28
481,24
482,23
483,28
484,23
485,24
486,32
487,26
488,33
489,27
490,35
491,24
492,27
493,31
494,27
495,25
496,20
497,38
498,32
499,34
500,20
501,26
502,21
503,32
504,25
505,23
506,36
507,32
508,26
509,33
510,30
511,32
512,24
513,21
514,23
515,31
516,33
517,33
518,27
519,30
520,19
521,35
522,30
523,33
524,17
525,27
526,28
527,26
528,39
529,34
530,26
531,24
